,dead%,positive%,Black,longitude,"Hospital Beds per 10,000 Population","ICU Beds per 10,000 Population",death,positiveIncrease,Pneumonia Deaths,Total Hospital Beds,"Intensivist (Critical Care) Physicians per 10,000 Adults",positive,latitude,Asian,area,Median Household Income 2021,Multiple Races,recoveryRate
0,0.041587638790222405,7.756571869575711,0.022,-154.493062,22.6,1.8,305.0,0,47.0,1604.0,0.51,56886.0,63.588753,0.06,663267,81133,0.083,99.463839960623
367,0.20197922925856626,9.9480741415833,0.265,-86.902298,31.6,3.9,10148.0,408,1085.0,15035.0,0.41,499819.0,32.318231,0.014,52419,56929,0.019,97.96966501873679
733,0.17662153779946632,10.785834680381095,0.152,-91.831833,28.6,2.9,5319.0,165,529.0,8353.0,0.29,324818.0,35.20105,0.016,53179,50784,0.024,98.36246759723906
1100,0.22831567410594306,11.55636955705249,0.043,-111.093731,18.4,2.5,16328.0,1335,903.0,12875.0,0.56,826454.0,34.048928,0.033,113998,70821,0.024,98.02433045275357
1469,0.13689032003284518,8.855719185963416,0.053,-119.417932,19.2,2.1,54124.0,3816,5672.0,74286.0,0.63,3501394.0,36.778261,0.147,163695,81575,0.033,98.45421566381847
1838,0.10372872643154822,7.561891704369146,0.038,-105.782067,17.5,3.2,5989.0,840,417.0,9737.0,0.75,436602.0,39.550051,0.032,104093,84954,0.028,98.62827014076893
2207,0.2136472446604828,7.912768473387274,0.1,-73.087749,23.4,2.1,7704.0,0,593.0,8102.0,0.98,285330.0,41.603221,0.046,5544,80958,0.026,97.29996845757543
2580,0.14879569431929757,8.925115258579238,0.218,-75.52767,20.4,2.7,1473.0,215,136.0,1916.0,0.61,88354.0,38.910832,0.039,2489,68687,0.028,98.3328428820427
2947,0.16715976276121863,9.55466570474653,0.313,-82.907123,23.2,2.6,17906.0,1709,1287.0,23692.0,0.56,1023487.0,32.157435,0.041,59425,61497,0.025,98.25049072435704
3316,0.030578497063433546,1.9720725555583807,0.012,-155.665857,20.9,1.6,445.0,53,513.0,2835.0,0.45,28699.0,19.898682,0.394,10931,82199,0.184,98.44942332485452
3685,0.16988546333065982,8.631330816330523,0.039,-93.097702,27.7,2.0,5558.0,257,500.0,8468.0,0.64,282384.0,41.878003,0.023,56271,72429,0.019,98.0317581732676
4052,0.10216920612514993,9.402992540941089,0.007,-114.742041,19.0,1.9,1879.0,104,169.0,3269.0,0.27,172931.0,44.068202,0.012,83570,76918,0.026,98.91343946429501
4418,0.17976894059196583,9.360537647704586,0.136,-89.398528,24.1,2.8,23014.0,1068,2136.0,29984.0,0.64,1198335.0,40.633125,0.056,57914,79253,0.022,98.07950197565789
4787,0.18770831098184254,9.833604695168894,0.092,-85.602364,25.0,3.6,12737.0,746,814.0,16194.0,0.7,667262.0,40.551217,0.024,36418,70190,0.023,98.09115459894315
5162,0.16379157760017427,10.070561084863916,0.055,-98.484246,29.0,3.1,4812.0,0,449.0,8161.0,0.41,295861.0,39.011902,0.028,82276,75979,0.032,98.37356055715352
5529,0.10695018638050742,9.115045465480767,0.08,-84.270018,32.1,3.3,4819.0,525,739.0,13872.0,0.57,410709.0,37.839333,0.016,40410,55629,0.02,98.8266631605346
5896,0.20928528474113184,9.313173701418945,0.319,-92.145024,31.6,3.4,9748.0,740,678.0,14279.0,0.44,433785.0,31.244823,0.017,51840,57206,0.019,97.75280380833823
6262,0.23353049545250676,8.411991208431052,0.07,-71.382437,21.8,2.3,16417.0,1425,1177.0,14486.0,1.01,591356.0,42.407211,0.067,10555,86566,0.032,97.22383809414296
6673,0.12877952944558915,6.270114213115795,0.296,-76.641271,18.1,2.1,7955.0,709,848.0,10613.0,1.13,387319.0,39.045755,0.064,12407,97332,0.032,97.94613742160855
7041,0.0518218766125522,3.3613753790300502,0.014,-69.445469,25.7,2.2,706.0,159,245.0,3335.0,0.45,45794.0,45.253783,0.011,35385,71139,0.019,98.45831331615496
7407,0.16530170538210961,6.51037462201053,0.134,-85.602364,24.5,2.8,16658.0,0,1524.0,23942.0,0.72,656072.0,44.314844,0.032,96716,64488,0.027,97.4609494079918
7779,0.1147815103284083,8.586901169089112,0.064,-94.6859,24.9,2.3,6550.0,895,469.0,13655.0,0.54,490011.0,46.729553,0.049,86938,80441,0.03,98.66329531377866
8146,0.1325932633003911,7.809094945777463,0.112,-91.831833,29.3,3.5,8161.0,291,1090.0,17412.0,0.8,480643.0,37.964253,0.021,69704,63594,0.026,98.30206619049898
8512,0.22990066116701602,10.0490700133287,0.376,-89.398528,36.8,3.2,6808.0,260,818.0,10598.0,0.29,297581.0,32.354668,0.01,48431,46637,0.014,97.71221953014472
8878,0.1273720860522493,9.307477691438585,0.006,-110.362566,35.7,2.4,1381.0,72,109.0,3689.0,0.5,100914.0,46.879682,0.008,147042,64999,0.028,98.63150801672711
9244,0.11017887255459803,8.354666001493575,0.209,-79.0193,23.1,3.2,11502.0,0,1634.0,23230.0,0.57,872176.0,35.759573,0.029,53818,62891,0.026,98.68122947661941
9613,0.18970753208213642,12.885608155113504,0.024,-101.002012,41.0,3.8,1478.0,34,128.0,2999.0,0.79,100391.0,47.551493,0.014,70700,68882,0.026,98.52775647219372
9979,0.1077234611808082,10.350526942590992,0.048,-99.901813,30.1,2.9,2113.0,373,308.0,5621.0,0.4,203026.0,41.492537,0.024,77353,78109,0.021,98.95924659895778
10366,0.08595100357233859,5.579628450653307,0.013,-71.572395,20.2,1.9,1184.0,166,204.0,2646.0,0.91,76861.0,43.193852,0.026,9350,88841,0.021,98.45955686238794
10735,0.25378420957102565,8.748084022876967,0.124,-74.405661,21.5,2.2,23574.0,2519,1260.0,18803.0,0.7,812609.0,40.058324,0.096,8722,88559,0.024,97.09897379920724
11127,0.17983284235063438,8.827393528851175,0.017,-105.032363,17.7,2.2,3808.0,180,305.0,3621.0,0.39,186922.0,34.97273,0.016,121589,53463,0.018,97.96278661687762
11495,0.16224239148570482,9.540316445136176,0.092,-116.419389,20.4,3.7,5037.0,730,468.0,6078.0,0.67,296190.0,38.80261,0.085,110560,64340,0.037,98.29940241061482
11863,0.1932009253487247,8.322104242168393,0.14,-74.217933,28.5,2.3,39029.0,6789,4226.0,54219.0,0.85,1681169.0,43.299428,0.086,54556,72920,0.027,97.67846064256479
12234,0.14963411847740674,8.292515039686602,0.122,-82.907123,24.3,3.2,17656.0,735,1931.0,27554.0,0.81,978471.0,40.417287,0.023,44825,62689,0.028,98.19555203986629
12602,0.11451365917613307,10.835027844195757,0.069,-97.092877,28.5,3.1,4534.0,461,622.0,10857.0,0.36,428997.0,35.007752,0.021,69899,60096,0.071,98.9431161523274
12968,0.05418601094670702,3.7070925145896307,0.018,-120.554201,16.4,2.0,2296.0,195,331.0,6731.0,0.7,157079.0,43.804133,0.047,98380,81855,0.04,98.53831511532414
13337,0.18726110730848208,7.295738577372392,0.104,-77.194525,27.3,2.9,24349.0,1658,2375.0,33857.0,0.87,948643.0,41.203322,0.035,46056,72627,0.023,97.43328101298381
13707,0.2320984819283037,11.73532571700388,0.059,-71.477429,23.9,2.8,2547.0,265,143.0,2424.0,0.91,128781.0,41.580095,0.033,1545,74982,0.033,98.02222377524636
14079,0.17102917401349046,10.273961228307536,0.262,-81.163725,23.5,3.0,8754.0,1408,660.0,11574.0,0.59,525865.0,33.836081,0.017,32020,62542,0.022,98.33531419660939
14448,0.21428563372720535,12.810784657599752,0.022,-99.901813,46.7,1.8,1900.0,211,195.0,3967.0,0.42,113589.0,43.969515,0.013,77353,73893,0.024,98.3273028198153
14814,0.16702745252386106,11.318537254516094,0.164,-86.580447,27.1,3.5,11543.0,0,1363.0,17876.0,0.63,782206.0,35.517491,0.018,42144,62166,0.022,98.52430178239491
15182,0.1525140840757434,9.218635944033222,0.117,-99.901813,20.0,2.6,44451.0,2953,2794.0,56117.0,0.48,2686818.0,31.968599,0.05,268580,67404,0.019,98.34558946679678
15552,0.06163524288215878,11.692292912134219,0.01,-111.093731,15.4,2.2,1976.0,412,289.0,4779.0,0.5,374850.0,39.32098,0.023,84898,87649,0.027,99.47285580899027
15918,0.11117556575166952,6.785694962562822,0.189,-78.656894,21.2,2.5,9596.0,1163,1064.0,17370.0,0.55,585700.0,37.431573,0.067,42774,80268,0.033,98.36161857606282
16324,0.03234449373869692,2.5009446769204935,0.011,-72.577841,17.4,1.6,208.0,119,52.0,1046.0,0.49,16083.0,44.558803,0.016,9615,76079,0.02,98.7067089473357
16694,0.0654226627166485,4.4713748921032215,0.038,-120.740139,15.1,2.0,5041.0,664,648.0,11116.0,0.59,344532.0,47.751074,0.089,71300,87648,0.05,98.53685579278557
17114,0.12056905335477537,10.547739135126587,0.062,-88.787868,22.2,2.7,7106.0,377,792.0,12589.0,0.58,621654.0,43.78444,0.03,65498,69943,0.02,98.85692040910217
17484,0.12961918163187483,7.439583523813134,0.032,-80.454903,36.4,3.7,2325.0,155,420.0,6382.0,0.52,133445.0,38.597626,0.008,24230,46836,0.018,98.25770916857131
17485,0.12961918163187483,7.439583523813134,0.032,-80.454903,36.4,3.7,2325.0,155,420.0,6382.0,0.52,133445.0,38.597626,0.008,24230,46836,0.018,98.25770916857131
