state,"Intensivist (Critical Care) Physicians per 10,000 Adults","Critical Care Nurses and CRNAs per 10,000 Adults","Total 2nd-Line Critical Care Physicians* per 10,000 Adults",Pneumonia Deaths,American Indian/Alaska Native,Median Household Income 2021,Median Household Income 2020,positive%,dead%,recoveryRate,positiveIncrease%
AK,0.51,2.54,4.37,47.0,0.151,81133.0,74746.0,2.358655305333319,0.011698114038941729,98.9313422295869,0.00021135073214102753
AL,0.41000000000000003,5.07,3.48,1085.0,0.004,56929.0,54689.0,3.3749956306429536,0.05772328270284593,97.97348929776773,0.00027180530441484426
AR,0.29,3.19,3.5800000000000005,529.0,0.006,50784.0,50777.0,3.4040479860311486,0.05690969100193134,98.42674923718695,0.0002938919531438991
AZ,0.56,1.46,5.23,903.0,0.039,70821.0,67088.0,3.6175761751912425,0.07451558194814646,97.52909485958058,0.00031317998891326195
CA,0.63,0.89,4.43,5672.0,0.004,81575.0,77652.0,2.598428658807393,0.040166531925293965,97.8380653210601,0.00023998875713989403
CO,0.75,1.77,5.18,417.0,0.005,84954.0,83777.0,2.319346828999943,0.04370679870107102,96.98111714115967,0.00020492837573498094
CT,0.9800000000000001,2.66,6.08,593.0,0.002,80958.0,79432.0,2.5472831476344786,0.1241410744903039,93.7168915518921,0.0002121385649701682
DE,0.61,4.99,4.93,136.0,0.003,68687.0,70022.0,2.8129179581270822,0.06320381792850224,96.99819083597546,0.00024319115145992476
GA,0.56,2.45,3.9900000000000007,1287.0,0.002,61497.0,59265.0,3.1244288420833235,0.060918756127396834,97.46509437438074,0.00025893352395491703
HI,0.45,1.09,4.19,513.0,0.001,82199.0,80825.0,0.7253875870031651,0.010574967009752318,98.45097368142066,5.344370069263904e-05
IA,0.64,2.45,3.97,500.0,0.003,72429.0,68816.0,3.236208197328529,0.05730682315413235,98.11842829994026,0.00023518612578557282
ID,0.27,3.5400000000000005,2.5,169.0,0.009,76918.0,66725.0,3.126484613731812,0.03403626343250269,98.58772863046323,0.0002569123645065871
IL,0.64,2.12,4.79,2136.0,0.001,79253.0,74334.0,3.2922494036205237,0.07901728167291167,96.92865555360424,0.0002536722602319726
IN,0.7,1.29,4.96,814.0,0.002,70190.0,66805.0,3.062446361040018,0.06689236268717777,96.52065309806245,0.0002622294585378372
KS,0.41,4.85,3.6,449.0,0.006,75979.0,73082.0,3.1179308002741895,0.04237920334648679,98.19472382776067,0.0002744022093968369
KY,0.57,4.23,4.5,739.0,0.001,55629.0,56755.0,2.5378326609462873,0.03210525256256893,97.5667593274021,0.00024836636145724166
LA,0.44,4.53,3.8999999999999995,678.0,0.005,57206.0,51186.0,3.5816106031129356,0.10589621288007134,96.1892870686701,0.00025445829785297665
MA,1.01,2.15,6.19,1177.0,0.002,86566.0,87812.0,2.748984180511126,0.1280505972435429,94.54047964654869,0.00020467131893992828
MD,1.13,2.01,5.22,848.0,0.002,97332.0,94789.0,2.2890169843563895,0.0628584549147839,96.65766705086149,0.00017038353839988573
ME,0.45000000000000007,3.7099999999999995,5.12,245.0,0.006999999999999999,71139.0,63693.0,0.8151729439313069,0.01563103903244469,97.38465353790936,9.184085735054782e-05
MI,0.72,3.9899999999999998,4.18,1524.0,0.005,64488.0,64392.0,2.2095870744526147,0.07905975250449154,94.8105090641955,0.00017500633592302845
MN,0.54,5.53,3.8,469.0,0.009,80441.0,78753.0,2.883489834334724,0.04637539425975197,97.58428200645125,0.00023397503120420722
MO,0.8,3.73,5.39,1090.0,0.004,63594.0,62178.0,2.6673901599559082,0.04373171521790215,97.50335514808293,0.00021336324988463013
MS,0.29,3.52,3.4099999999999997,818.0,0.004,46637.0,45134.0,3.533577004074652,0.09264104373046596,96.99485056819057,0.0002745647544625328
MT,0.5,1.4200000000000002,5.07,109.0,0.061,64999.0,56741.0,2.8142077762729216,0.03722822118650836,98.25429948705006,0.00025430266916498864
NC,0.57,4.22,3.97,1634.0,0.011000000000000001,62891.0,60430.0,2.482996742305579,0.0361468220436018,98.23353572456405,0.00022641345318124604
ND,0.7899999999999999,6.36,4.21,128.0,0.052,68882.0,64115.0,4.646712939387157,0.0646152953159553,98.42421723402632,0.00035206579658780064
NE,0.4,4.03,4.33,308.0,0.008,78109.0,72248.0,3.525373924472153,0.03681367434964467,98.83693323520694,0.0002674554765527388
NH,0.91,3.15,5.38,204.0,,88841.0,88894.0,1.373023883201129,0.035482582010459104,96.06469655345646,0.00015120550848637598
NJ,0.7,1.33,4.64,1260.0,0.001,88559.0,85549.0,3.0741331166848593,0.14698511782341775,94.05948584529828,0.00022316540874686136
NM,0.39,2.21,3.15,305.0,0.087,53463.0,50906.0,2.6857719778118008,0.05845509170313685,97.2356218248957,0.00023987482415356457
NV,0.67,0.9,4.41,468.0,0.009,64340.0,61164.0,3.178777951980084,0.05268053206978528,97.51463692491214,0.0002592468542123041
NY,0.8499999999999999,1.34,5.6,4226.0,0.002,72920.0,68659.0,2.893840964328119,0.122433756668673,95.30098505246413,0.00022431547822556315
OH,0.8100000000000002,3.59,4.56,1931.0,0.001,62689.0,60379.0,2.375142128056219,0.045846625411735065,96.79787117129108,0.0002253400826001794
OK,0.36,2.44,4.18,622.0,0.077,60096.0,52471.0,3.1573221699263696,0.03352499464826531,97.78561331563044,0.000296038322064043
OR,0.7000000000000001,1.52,4.89,331.0,0.009,81855.0,76855.0,1.1243481835783633,0.016944861843165553,97.91768767278784,0.00010046321177749677
PA,0.8699999999999999,4.4,5.05,2375.0,0.001,72627.0,70789.0,2.1180334815810316,0.07331389569468616,95.46652798292918,0.00019718212371276736
RI,0.9100000000000001,2.26,3.95,143.0,0.002,74982.0,80175.0,3.6622353945662924,0.1081135776859607,96.4246840243029,0.00031546084582161836
SC,0.59,3.78,3.71,660.0,0.003,62542.0,60341.0,3.087536680179806,0.05977520466955837,97.67888079667694,0.0002784271335584698
SD,0.42,6.62,3.57,195.0,0.084,73893.0,70189.0,4.420445151934215,0.06419387611053053,98.64124585633178,0.00035002143873223365
TN,0.63,5.29,4.33,1363.0,0.003,62166.0,54975.0,3.6235651244056912,0.049029475019369155,98.67409064648912,0.00030756855392649683
TX,0.48,2.64,4.0,2794.0,0.003,67404.0,68404.0,2.8940156627061246,0.05065643238539824,98.1069184843671,0.0002491523228117087
