,state,date,death,positiveCasesViral,positive,positiveIncrease,State Abbreviation,Stay at home/ shelter in place,End/relax stay at home/shelter in place,Face mask mandate in public spaces,Ended face mask mandate,state_policy
0,AK,2021-03-07,305.0,,56886.0,0,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
1,AK,2021-03-06,305.0,,56886.0,0,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
2,AK,2021-03-05,305.0,,56886.0,141,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
3,AK,2021-03-04,303.0,,56745.0,140,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
4,AK,2021-03-03,303.0,,56605.0,177,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
5,AK,2021-03-02,302.0,,56428.0,89,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
6,AK,2021-03-01,300.0,,56339.0,350,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
7,AK,2021-02-28,290.0,,55989.0,0,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
8,AK,2021-02-27,290.0,,55989.0,0,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
9,AK,2021-02-26,290.0,,55989.0,103,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
10,AK,2021-02-25,290.0,,55886.0,150,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
11,AK,2021-02-24,290.0,,55736.0,176,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
12,AK,2021-02-23,290.0,,55560.0,53,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
13,AK,2021-02-22,290.0,,55507.0,309,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
14,AK,2021-02-21,289.0,,55198.0,0,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
15,AK,2021-02-20,289.0,,55198.0,0,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
16,AK,2021-02-19,289.0,,55198.0,189,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
17,AK,2021-02-18,288.0,,55009.0,210,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
18,AK,2021-02-17,288.0,,54799.0,63,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
19,AK,2021-02-16,287.0,,54736.0,454,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
20,AK,2021-02-15,282.0,,54282.0,0,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
21,AK,2021-02-14,282.0,,54282.0,0,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
22,AK,2021-02-13,282.0,,54282.0,0,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
23,AK,2021-02-12,282.0,,54282.0,148,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
24,AK,2021-02-11,280.0,,54134.0,143,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
25,AK,2021-02-10,280.0,,53991.0,182,AK,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-28
